Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,,,Justifcation
trello_backend,_G02.trello.board.controller,BoardController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,This class is required to handle the board API
trello_backend,_G02.trello.signup.controller,ForgotPasswordController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Refactored
trello_backend,_G02.trello.signup.controller,ForgotPasswordController,Feature Envy,The tool detected a instance of this smell because resetPassword is more interested in members of the type: UserService,,,Refactored
trello_backend,_G02.trello.signup.controller,ResetPasswordController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Refactored
trello_backend,_G02.trello.signup.controller,ResetPasswordController,Feature Envy,The tool detected a instance of this smell because updatePassword is more interested in members of the type: UserService,,,Refactored
trello_backendSecurityQuestionService,_G02.trello.signup.service,SecurityQuestionService,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Refactored
trello_backend,_G02.trello.signup.controller,SecurityQuestionController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Refactored
trello_backend,_G02.trello.signup.controller,UserController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,This class is required to handle the user API
trello_backend,_G02.trello.signup.model,UserModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,,,All the methods are getters and setters and constructors
trello_backend,_G02.trello.signup.service,UserService,Feature Envy,The tool detected a instance of this smell because loginUser is more interested in members of the type: UserRepository,,,Refactored
trello_backend,_G02.trello.task.controller,TaskController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,This class is required to handle the task API
trello_backend,_G02.trello.task.controller,TaskController.TaskUpdate,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: taskId; userId,,This class is required for the functioning of assign task to member function.
trello_backend,_G02.trello.task.controller,TaskController.TaskUpdate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,This class is required for the functioning of assign task to member function.
trello_backend,_G02.trello.task.model,TaskModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,,,All the methods are getters and setters and constructors
trello_backend,_G02.trello,TrelloBackendApplication,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,This is the runner class
trello_backend,_G02.trello.workspace.controller,WorkspaceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,This class is required to handle the workspace API
trello_backend,_G02.trello.workspace.model,WorkspaceModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods,,,All the methods are getters and setters and constructors
trello_backend,_G02.trello.workspace.model,WorkspaceType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,,Required for the board to function
